<Dog: void <init>()>/Animal.<init>/0	new_var_16
<Cat: void <init>()>/Animal.<init>/0	new_var_14
<Animal: void <init>()>/java.lang.Object.<init>/0	new_var_11
<Animal: Animal playWith(Animal)>/Animal.play/0	new_var_12
<Simple_Pointer: void <init>()>/java.lang.Object.<init>/0	new_var_10
<Simple_Pointer: void main(java.lang.String[])>/Simple_Pointer.<init>/0	new_var_17
<Simple_Pointer: void main(java.lang.String[])>/Simple_Pointer.test/0	new_var_17
<Simple_Pointer: void main(java.lang.String[])>/java.io.InputStreamReader.<init>/0	new_var_18
<Simple_Pointer: void main(java.lang.String[])>/java.io.BufferedReader.<init>/0	new_var_18
<Simple_Pointer: void main(java.lang.String[])>/java.io.BufferedReader.readLine/0	12
<Simple_Pointer: void main(java.lang.String[])>/Simple_Pointer.sanitize/0	13
<Simple_Pointer: void main(java.lang.String[])>/java.lang.StringBuilder.<init>/0	14
<Simple_Pointer: void main(java.lang.String[])>/java.lang.StringBuilder.append/0	14
<Simple_Pointer: void main(java.lang.String[])>/java.lang.StringBuilder.append/1	14
<Simple_Pointer: void main(java.lang.String[])>/java.lang.StringBuilder.toString/0	14
<Simple_Pointer: void main(java.lang.String[])>/java.io.PrintStream.println/0	16
<Simple_Pointer: void test(int)>/Cat.<init>/0	26
<Simple_Pointer: void test(int)>/Dog.<init>/0	28
<Simple_Pointer: void test(int)>/Animal.play/0	30
<Simple_Pointer: void test(int)>/Cat.<init>/1	32
new_var_20	new_var_4
new_var_21	34
<Simple_Pointer: void test(int)>/Simple_Pointer.morePlay/0	new_var_5
<Simple_Pointer: void morePlay(Cat)>/Cat.getParent/0	new_var_7
<Simple_Pointer: void morePlay(Cat)>/Cat.play/0	41
<Simple_Pointer: void morePlay(Cat)>/Cat.playWith/0	new_var_8
<Simple_Pointer: void morePlay(Cat)>/Cat.playWith/1	new_var_9
