<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin$1: java.lang.String responseBody()>	java.lang.String
<com.matt_richardson.gocd.websocket_notifier.PipelineWebSocketServer: void <init>(java.lang.String,int)>	void
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: void <init>(com.matt_richardson.gocd.websocket_notifier.WebSocketPipelineListener)>	void
<com.matt_richardson.gocd.websocket_notifier.PipelineDetailsPopulator: com.google.gson.JsonElement downloadPipelineInstanceDetails(java.lang.String)>	com.google.gson.JsonElement
<com.matt_richardson.gocd.websocket_notifier.PipelineDetailsPopulator: java.lang.String extendMessageToIncludePipelineDetails(java.lang.String)>	java.lang.String
<com.matt_richardson.gocd.websocket_notifier.PipelineDetailsPopulator: java.lang.String mergeInPipelineInstanceDetails(com.google.gson.JsonElement,com.google.gson.JsonElement)>	java.lang.String
<com.matt_richardson.gocd.websocket_notifier.PipelineDetailsPopulator: void <clinit>()>	void
<com.matt_richardson.gocd.websocket_notifier.PipelineDetailsPopulator: void <init>(com.matt_richardson.gocd.websocket_notifier.PluginConfig)>	void
<com.matt_richardson.gocd.websocket_notifier.PipelineWebSocketServer: void <init>(int)>	void
<com.matt_richardson.gocd.websocket_notifier.PipelineWebSocketServer: void onError(org.java_websocket.WebSocket,java.lang.Exception)>	void
<com.matt_richardson.gocd.websocket_notifier.PipelineWebSocketServer: void sendToAll(java.lang.String)>	void
<com.matt_richardson.gocd.websocket_notifier.PluginConfig: boolean hasBasicAuth()>	boolean
<com.matt_richardson.gocd.websocket_notifier.PluginConfig: boolean isGoPasswordSet()>	boolean
<com.matt_richardson.gocd.websocket_notifier.PluginConfig: boolean isGoUserSet()>	boolean
<com.matt_richardson.gocd.websocket_notifier.PluginConfig: boolean isHostSet()>	boolean
<com.matt_richardson.gocd.websocket_notifier.PluginConfig: int getGoHttpPort()>	int
<com.matt_richardson.gocd.websocket_notifier.PluginConfig: int getPort()>	int
<com.matt_richardson.gocd.websocket_notifier.PluginConfig: java.lang.String getGoPassword()>	java.lang.String
<com.matt_richardson.gocd.websocket_notifier.PluginConfig: java.lang.String getGoUser()>	java.lang.String
<com.matt_richardson.gocd.websocket_notifier.PluginConfig: java.lang.String getHost()>	java.lang.String
<com.matt_richardson.gocd.websocket_notifier.PluginConfig: void <clinit>()>	void
<com.matt_richardson.gocd.websocket_notifier.PluginConfig: void <init>()>	void
<com.matt_richardson.gocd.websocket_notifier.PluginConfig: void setGoHttpPort(int)>	void
<com.matt_richardson.gocd.websocket_notifier.PluginConfig: void setGoPassword(java.lang.String)>	void
<com.matt_richardson.gocd.websocket_notifier.PluginConfig: void setGoUser(java.lang.String)>	void
<com.matt_richardson.gocd.websocket_notifier.PluginConfig: void setHost(java.lang.String)>	void
<com.matt_richardson.gocd.websocket_notifier.PluginConfig: void setPort(int)>	void
<com.matt_richardson.gocd.websocket_notifier.WebSocketPipelineListener: void <init>(com.matt_richardson.gocd.websocket_notifier.PipelineWebSocketServer,com.matt_richardson.gocd.websocket_notifier.PluginConfig)>	void
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin$1: int responseCode()>	int
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin$1: java.util.Map responseHeaders()>	java.util.Map
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin$1: void <init>(com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin,int,java.lang.String)>	void
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: com.thoughtworks.go.plugin.api.GoPluginIdentifier pluginIdentifier()>	com.thoughtworks.go.plugin.api.GoPluginIdentifier
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: com.thoughtworks.go.plugin.api.response.GoPluginApiResponse handle(com.thoughtworks.go.plugin.api.request.GoPluginApiRequest)>	com.thoughtworks.go.plugin.api.response.GoPluginApiResponse
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: void initializeGoApplicationAccessor(com.thoughtworks.go.plugin.api.GoApplicationAccessor)>	void
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: com.thoughtworks.go.plugin.api.response.GoPluginApiResponse handleNotificationsInterestedIn()>	com.thoughtworks.go.plugin.api.response.GoPluginApiResponse
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: com.thoughtworks.go.plugin.api.response.GoPluginApiResponse handleStageNotification(com.thoughtworks.go.plugin.api.request.GoPluginApiRequest)>	com.thoughtworks.go.plugin.api.response.GoPluginApiResponse
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: com.thoughtworks.go.plugin.api.response.GoPluginApiResponse renderJSON(int,java.lang.Object)>	com.thoughtworks.go.plugin.api.response.GoPluginApiResponse
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: void <clinit>()>	void
<com.matt_richardson.gocd.websocket_notifier.GoNotificationPlugin: void <init>()>	void
<com.matt_richardson.gocd.websocket_notifier.PipelineWebSocketServer: void onClose(org.java_websocket.WebSocket,int,java.lang.String,boolean)>	void
<com.matt_richardson.gocd.websocket_notifier.PipelineWebSocketServer: void onMessage(org.java_websocket.WebSocket,java.lang.String)>	void
<com.matt_richardson.gocd.websocket_notifier.PipelineWebSocketServer: void onOpen(org.java_websocket.WebSocket,org.java_websocket.handshake.ClientHandshake)>	void
<com.matt_richardson.gocd.websocket_notifier.WebSocketPipelineListener: void notify(com.thoughtworks.go.plugin.api.request.GoPluginApiRequest)>	void
